artist,title,year_released,rating,review,genre,query,album_id,my_track,my_album,my_artist,my_label,artist_orig,title_orig,year_released_orig,rating_orig,review_orig,genre_orig,query_orig,album_id_orig,my_track_orig,my_album_orig,my_artist_orig,my_label_orig,artist_norm_orig,my_artist_norm_orig,title_norm_orig,my_album_norm_orig
1990s,Cookies,2007,8.1,"acerbic budget just still time spare early original more spotted current tiring loving its enough blonde relentless better rough low his wonderful public familiar popular larger single fun frowning musical passionate past glittering material fervent only well which much even sarcastic alive minute confused status signed two all every key sunny minor first grateful irritated new teenage wordless down changing rousing acrimonious expected brief irresistible least wanting last supposed whose electronic yummy party John McKeown spent the actual 90s in Glasgow's Yummy Fur, along with Paul Thomson and Alex Kapranos, who later went on to Franz Ferdinand. He's back with a new band and he's ready to party.",Rock,world electronic scratch pop axe,58,loversÕ carvings,Ambivalence Avenue,Bibio,Warp Records,Bibio,Ambivalence Avenue,2009,8.3,"just fantastic whole cultural hard crunchy far crisp more better outside effective homey antiquated uncharted both two informed vocal little interesting jealous upbeat inspired established dreamy still lustrous bouncing pleasant solid musical fascinated flying natural vast heady silky moaning arid acoustic beautiful haunting used his same moving complex which excellent extra less wild status subtle diverse right interested bouncy modest recent one four visceral wavering formless electronic cut precise wobbly spontaneous trick seamless opposite fewer sly kind most shocking all wet actual trying predictable memorable careful five these thin gleaming Incorporating elements of cut-up soul and hip-hop, this is a stunning transformation for a guy that seemed like a one-trick pony focused only on atmosphere.",Electronic,folk techno world electronic funk crunchy haunting rock crisp ambient soul pop dreamy bouncy electro,1968,,,,,bibio,,ambivalence avenue,
2 Chainz,B.O.A.T.S II: Me Time,2013,6.2,"budget deeply fantastic day immediate time telling its exuberant casual earnest his disjointed compulsive same unlikely leading away past plus which essential joyous much even best seeming bad high known quality less focused short certain two formulaic dirty modern minor medium right such first new cool full massive one these latter traditional alike quick pure impossible glass mad half each booming Quick-hit satisfaction is what makes the Atlanta rapper 2 Chainz a sought-after artist for guest verses, the medium in which he has carried out a world-conquering campaign over the past two years. His new B.O.A.T.S. II can be clumsy but the low stakes also yield some surprises.",Rap,world reading exuberant rap,60,Paper Planes,Kala,M.I.A.,Interscope,M.I.A.,Kala,2007,8.9,still slim either cultural more its empty floating enough hairy free better square digital elastic public biggest single fun elementary big away outward sudden usual past which much overall best large even accessible understandable rhythmic personal sparkly kind all admirable important vocal first such limited sure down bountiful audacious woozy one fresh adventurous critical traditional male visceral significant rich her half ugly nan,Global / Pop/R&B,world bassline disco funk eurovision floating,11756,,,,,mia,,kala,
2 Chainz,The Play Donâ€™t Care Who Makes It EP,2018,7.5,"just subject work legendary time pretty more long latest its ok enough better his same cold feeling longest old contemporary leading touching well which only ultimate best even infinite youthful reflective simple most proud both all two baby key sentimental ominous necessary trying down little lyrical changing serious one brief fresh tender understated four last level late quick whose main phenomenal On his reflective four-song EP, the Atlanta rapperâ€™s hallmark frivolity and infinite swag keep it short and sweet.",Rap,tender rap,67,Plum,Bloom,Troye Sivan,EMI Recorded Music Australia Pty Ltd,Troye Sivan,Bloom,2018,7.5,willing nervous young just day work older subject time good later long second its playful his scared opening invited another integral much cynical best teasing other less lucky kind visible choice all middle baby each unpredictable both lost modern easy first right thorough down meaningless one true these devoted male white whose her ensuing The Australian singerâ€™s second album exudes a chic kind of vulnerability. It is a warm and delicate pop album about life as a young gay man.,Pop/R&B,pop world abstract fake,21388,,,,,troye sivan,,bloom,
20 Minute Loop,Decline of Day,2001,8.5,"ill favorite slick still day philosophical just beautiful far good pretty more later its uninspired her playful thick burning deep occasional solid quirky bloody musical dark frank lovely ultimate which only unbelievable much even feminine searching crippled minute plain macho black slow all icy red melodic dirty terrible refreshing lyrical down creepy one wanting sinister novel sea innovative street lasting unlucky cut I know it, and you know it. Quirky, after many years of misuse and abuse, has become a dirty word ...",Rock,pop dark country feminine,71,Leave It In My Dreams,Virtue,The Voidz,RCA Records Label,The Voidz,Virtue,2018,6.9,"military human just still melancholy emotional knowing time unnatural bleary lead current second long scattered opened later born low outside his old breezy which only best seeming sporadic minute both disarming surprising all natural admirable divine formidable innate right new down rousing audacious gentle one messy anticipated whose party forgotten lazy sudden The second album from Julian Casablancas and his motley New York band is sludgy, psychedelic sesh that occasionally coheres into surprising moments of clarity and radiance.",Rock,world metal rock soul neon electro,20693,,,,,the voidz,,virtue,
21 Savage,Without Warning,2017,8,"disinterested work time grim more savage loving its eerie foreboding deep his odd fun bloody crossed several which sonic ringing wooden much bad other potential minute most cackling perfect both mixed all two super numb lost outstanding life lifeless first direct supernatural full one howling adrenalized dense these warning buzzing lacking inhuman hot street hostile different each The two rappers and their super-producer strike a devious, almost perfect balance on their mixtape released on Halloween, where supernatural frights are replaced by guns and goons.",Rap,dense rap,76,BLEACH,SATURATION III,BROCKHAMPTON,"QUESTION EVERYTHING, INC. / EMPIRE",BROCKHAMPTON,Saturation III,2017,7.5,"still just work whole time far precise more egalitarian obvious better unorthodox his same odd taller mission moving clumsy much even objective social fewer future black all life important similar imaginative first real mean separate broad working strongest memorable reserved artificial one talented these weird savvy flattened curly offbeat inspired incomplete corporate understanding Itâ€™s on their third album of the year that rap crew BROCKHAMPTONâ€™s whole gestalt comes into focus. There are more memorable performances, and more fascinatingly unorthodox compositions servicing them.",Rap,pop rap worship abstract,1478,My God Has A Telephone,My God Has a Telephone,The Flying Stars Of Brooklyn NY;Aaron Frazer,Colemine Records,brockhampton,the flying stars of brooklyn nyaaron frazer,saturation iii,my god has a telephone
23 Skidoo,The Culling Is Coming,2003,6.1,"mere just deeply immediate live time linear early far seven more later long second used loose occasional final familiar abrasive classic obtuse collapsing winter which only harmonic uncompromising giving even difficult other third straightforward most focused certain two key industrial melodic bigger first repetitive real prepared five one brief open inaccessible hanging warning least concise white enigmatic pure intriguing otherwise Warning: This recording is deeply, willfully obtuse, enigmatic and difficult. May cause loss of patience in otherwise open-minded listeners.
If ...",Electronic / Experimental / Rock,gamelan funk noise abstract industrial punk,79,Something For Your M.I.N.D.,Superorganism,Superorganism,Domino Recording Co,Superorganism,Superorganism,2018,7.8,"famous glorious disparate melancholy cultural time filtered far more free living toxic popping delicious well minimal sonic vocal such little danceable friendly visual fascinating present whose inspired daft half live early home occasional technological musical sharp much longing conscious simple brilliant greasy waiting expanded awkward expansive weary enchanting dusty firm good passing utopian his wonderful same light social minor changing one incredible tiny cut game east its flexible unlikely reminiscent classic big most kind all house modern down lyrical strong hanging these tarnished effortless her eight The debut from the UK collective is a hugely accomplished reflection of the present, a magpie-friendly collage of pop all glued together by the laconic voice of Orono Noguchi.",Pop/R&B,world funk noise fake minimal house jazz grunge punk pop edm,18484,,,,,superorganism,,superorganism,
31Knots,The Days and Nights of Everything Anywhere,2007,4,equal still day either just vicious telling savage more tragic long enough dogmatic daily concerned his same fifth big musical salted standard instrumental several clear which normal melodramatic much even common clever fast personal pleading social boring all two safe vocal first bearable ready lyrical full meaningless interesting one tardy least last condescending late thin different half Fifth album from mathy Portland band mines the last two decades of indie rock for inspiration.,Rock,punk noise cabaret rock,93,Pumpin Blood,We Are Only What We Feel,NONONO,WM Sweden,NONONO,We Are Only What We Feel,2014,5.8,"unproductive unraveled slick confident work time early home likely very more its long head enough obvious cutting happy same single uniform dandy joyful clear unsettling only clumsy much longing best even alive other comfortable itchy shallow quality less kind future two natural wrong similar background life tribal first new real trying down little tight full west adventurous fading thin magnetic impossible corner whose cheap electronic her each NONONO is a new collaboration between production duo Astma & Rocwell and singer Stina WÃ¤ppling. On their debut album, the Swedish trio gestures toward the otherworldly moodiness of electro-pop artists from their corner of the world like MÃ¸ and the Knife.",,world jungle poetry otherworldly pop electronic electro,13585,,,,,nonono,,we are only what we feel,
31Knots,Worried Well,2008,6,"spotty inventive stuffed time very more cloudy its second eloquent loose better fit his righteous shaggy same popping big away pronounced worried winter well which much elaborate high genuine dismal fast most opposite jagged all worth baby similar diverse formidable consistent such monotonous technical down vigorous modest lean married slippery strange threatening pedantic Portland's 31Knots have always been as slippery as frontman Joe Haege's guitar leads, and here their math-rock complexity and emo-pop punch combine to shape their most consistent album since 2003's vigorous It Was High Time to Escape.",Rock,rock ambient soul swing punk pop emo breaks,94,Wait a Minute!,ARDIPITHECUS,WILLOW,Roc Nation W Smith P&D,Willow,Ardipithecus,2015,5.8,"confident just whole time more unnecessary old inside clear express powerful potential small alternative tribal such frequent little fresh polished spiritual blossoming asymmetrical tough still secure silver early pretty lead later current exuberant public solid fun musical able past another much written even overall untrained brilliant focused life natural subdued mature artistic appropriate complete gigantic good astonishing same frank complex which forgivable light giving other mystical middle windy first average one late official capable its head enough exclusive single mission plausible chanting high nine entire fast most all arresting puzzling lyrical down full five traditional youngest her surprising After debuting with her hit single ""Whip My Hair,"" Willow Smith (daugher of Will and Jada Pinkett Smith) left her music career. Five years later, she emerges with a precocious, fitfully interesting new record that shows growing pains in between bursts of inspiration.",Rock,pop world polished exuberant,23188,,,,,willow,,ardipithecus,
3D & the Holograms,3D & the Holograms,2023,7,"still day live time early very grim more lead later its restless toxic master fit his unintelligible same irate electric unable colorful nasty which only essential dramatic addictive other frayed minute fast most future two background red snarling driven goofy these rabid street mad splashy leather distant smashing glass each scribbled The Australian band sets tales of the dystopian future to punk rock thatâ€™s nasty, cartoonish, and short.",Rock,techno world comic vintage punk electro,96,Ribs,Pure Heroine,Lorde,Universal Music New Zealand Limited,Lorde,Pure Heroine,2013,7.3,"insulted young older day local major hard time languid hypnotic iconoclastic global very wide more current empty her wasted burning low digital aspiring old single clear which much female other uncomfortable genuine top black moody swift bored lost short all two alternative right first new taunting real afraid working exciting recent wise pure front computer party half On her debut album, 16 year-old New Zealand singer-songwriter Ella Yelich-Oâ€™Connor, aka Lorde, has fashioned herself as a correspondent on the front lines of elegantly wasted post-digital youth culture and working-class suburban boredom. Pure Heroine is a collection of throbbing, moody, menacingly anesthetized pop.",Pop/R&B,drama pop world,11426,,,,,lorde,,pure heroine,
3MB feat. Magic Juan Atkins,3MB feat. Magic Juan Atkins,2021,8,"still steely home early far downtown basic later its second exact his cumbersome desolate influential familiar collaborative musical magical which only incompatible cross delicate magic unique rhythmic both black all two diverse similar industrial metallic forged abandoned first elegant fierce artful imported awkward lawless distinct open echoing thumping business different whose peerless electronic tough This 1992 meeting of Moritz von Oswald, Thomas Fehlmann, and Juan Atkins is a monument to the improbable transatlantic alliance that techno forged between Detroit and Berlin.",Electronic,techno bassline dub industrial electronic ambient electro,97,Why Do You Feel So Down,What Do You Think About the Car?,Declan McKenna,Columbia,Declan McKenna,What Do You Think About the Car?,2017,5.9,"mere previous young just floppy deeply major progressive early tempting home pretty later its vague eloquent used second obvious concerned his old muddled which written best bland twinkling female evocative most social confused confusing lost all every red super similar such interesting one numerous four The 18-year-old UK singer-songwriter Declan McKenna has been called a voice of his generation. His major label debut is scattershot, though it includes a Rostam-helmed standout.",Rock,jazz pop britpop,4976,,,,,declan mckenna,,what do you think about the car,
42 Dugg,Last Ones Left,2022,7,young still tonal hard time more latest its enough free his same cold fun big amazing able adopted well which meditative whispering even best high joint other juvenile fast less both most two every life all scorching new south left brash driven exciting full one hot next last traditional inconsequential level complete organic street rich each The fast-rising rappers team for a fun but inconsistent joint album thatâ€™s most effective when their verses weave together to feel like one.,Rap,rap soul rising horrorcore,99,The Louvre,Melodrama,Lorde,Universal Music New Zealand Limited,Lorde,Melodrama,2017,8.8,"mocking young work cultural knowing beautiful time party empty its long better shining spectral his same old single opening which formative only light written even unsteady difficult bright most accepting spacious top house vocal first teenage real exhilarating new endless changing little sleek horrible expected one worse true reckless last dizzying unsure peculiar romantic subterranean volatile thematic pure aware strident her incorrect green Lorde captures emotions like none other. Her second album is a masterful study of being a young woman, a sleek and humid pop record full of grief and hedonism, crafted with the utmost care and wisdom.",Pop/R&B,spacious romantic house pop neon,11425,,,,,lorde,,melodrama,
50 Cent,Curtis,2007,4.9,indelible human young day work time amusing far good original more enough failed deep his scared same sweet smart big swaggering chance able instrumental clear well only harmless inelegant raw dynamic machiavellian other less most top vulnerable personal perfect approachable every kind all status booming right absent excitable monotonous working bountiful recent five west these four flavored unending transparent sealed street pure hulking weary half primitive This week's other big hip-hop release finds the Queens rapper still pushing repetitive nihilism and G-Unit production styles instead of branching out and taking chances with his music.,Pop/R&B / Rap,raw funk reading rolling,103,Ever Since New York,Harry Styles,Harry Styles,Columbia,Harry Styles,Harry Styles,2017,6.8,"young still subject either work clinging time hard very wide original captivating lead its long available master his roguish same biggest sweet popular single fun which only even uninterested most both all middle baby two easy right wet down one hanging next male late period whose established half laughable overt The One Direction memberâ€™s solo debut pays fine tribute to classic rockâ€™nâ€™roll and shows off his exceptional voice, if not his enigmatic persona.",Pop/R&B,folk world rock pop rolling,7990,,,,,harry styles,,harry styles,
50 Cent,Get Rich or Die Tryin',2003,7,"slim early more its used deep horrifying his happy cold biggest mechanical big racist alleged violent much compelling best excellent destructive even sparse entire quality most lost dominant hollow middle all distinctive every vocal necessary charming real great little full five one moral these last political unquenchable thematic rich unmitigated Whether the motivations stem from a Derrideian desire to transform our monsters into pets, a post-feminist\n\ need to latch ...",Pop/R&B / Rap,soundtrack world horrorcore rap soul grime rolling,104,3005,Because The Internet,Childish Gambino,Glassnote Entertainment Group LLC,Childish Gambino,Because the Internet,2013,5.8,"just time early good more later its long playful dismissive estranged restless rough sorry his approaching musical frank instrumental enduring only much special even helpless most small black future every wrong introductory medium sick plush new trying real clapping irrational massive talented weird four childish different crystallized troubled The onetime â€œ30 Rockâ€� writer and â€œCommunityâ€� star Donald Glover's newest Childish Gambino album is a multi-platform project that includes guest spots from Chance the Rapper, Azealia Banks, Problem, Mystikal, Miguel, and JhenÃ© Aiko, among others.",Rap,world outsider rap rock worship,3592,,,,,childish gambino,,because the internet,
6th Borough Project,One Night in the Borough,2011,6.7,human just worthwhile time good original typical more seven current its second used enough better deep blurry fit his solid same feeling old classic ideal material which only yearning thrilling curious express even flickering best powerful high sweaty simple grand spacious kind slow certain all middle super house both vocal right limited mean new down endless full woozy one stumbling least forward party half cut Scottish production duo's debut album feels like a quintessentially of-the-moment dissertation on deepness in house music.,Electronic / Pop/R&B,chillwave disco spacious house vintage retro soul saturated breaks,111,Brazil,What Do You Think About the Car?,Declan McKenna,Columbia,Declan McKenna,What Do You Think About the Car?,2017,5.9,"mere previous young just floppy deeply major progressive early tempting home pretty later its vague eloquent used second obvious concerned his old muddled which written best bland twinkling female evocative most social confused confusing lost all every red super similar such interesting one numerous four The 18-year-old UK singer-songwriter Declan McKenna has been called a voice of his generation. His major label debut is scattershot, though it includes a Rostam-helmed standout.",Rock,jazz pop britpop,4976,,,,,declan mckenna,,what do you think about the car,
7 Days of Funk,7 Days of Funk,2013,7,"extended still ridiculous work wax satisfied time home far typical more assured enough born digital his foggy same faded classic contemporary big away unflappable stressful past mission clear moving even high other unusual conscious less most top kind slow both two natural all status bored heavy easy actual funny down smooth west these sensual last level romantic antagonistic late different strange electronic party cut 7 Days of Funk is Snoop Dogg recording in laid back mode as â€œSnoopzillaâ€� and DÃ¢m-Funk revamping the classic synthesizer melodies, electronic basslines, and digital drums that coursed through funk both before and after they attached the â€œg-â€� to it. It was home-recorded and assembled quickly, and the easygoing nature shines through.",,world foggy electronic funk romantic gliding reading tribute electro,112,Put a Light On,Heza,Generationals,Polyvinyl Records,Generationals,Heza,2013,6.4,"still inventive appealing very more obnoxious general its free flat same single breezy pleasing complex material competent much alien extra high bright third difficult simple refreshing new charming down lyrical careful impressive unabashed full tropical memorable one talented true likable fine organic exhausting possible electronic half Generationals' third full-length takes their knack for writing bright, melodically-charged pop songs, but tones down the boisterousness of its predecessor, their 2011 high-water mark,Â Actor-Caster.",Electronic / Rock,pop tropical electronic rock,7254,,,,,generationals,,heza,
7 Year Rabbit Cycle,Ache Hornes,2006,6.7,"immaculate game conventional sour untitled time more its animal free quiet his primary dry sweet single only deadpan harmonic minimal much even sparse simple magic wild kind responsible newest similar bigger down existing tight stock least complete tiny spare circling Latest from the husband-wife duo of Rob Fisk (Deerhoof) and Kelly Goode also features Zorn-Cline-Bungle collaborator Ches Smith (on drums) and Xiu Xiu's Jamie Stewart (vocals, guitar).",,glacial rock jazz bounce minimal rising breaks,115,Perfect Places,Melodrama,Lorde,Universal Music New Zealand Limited,Lorde,Melodrama,2017,8.8,"mocking young work cultural knowing beautiful time party empty its long better shining spectral his same old single opening which formative only light written even unsteady difficult bright most accepting spacious top house vocal first teenage real exhilarating new endless changing little sleek horrible expected one worse true reckless last dizzying unsure peculiar romantic subterranean volatile thematic pure aware strident her incorrect green Lorde captures emotions like none other. Her second album is a masterful study of being a young woman, a sleek and humid pop record full of grief and hedonism, crafted with the utmost care and wisdom.",Pop/R&B,spacious romantic house pop neon,11425,,,,,lorde,,melodrama,
